filename,model,type,verdict
test_c_1000682265.json,GEMINI_LITE_3.1,control,6
test_c_1002261316.json,GEMINI_PRO_3.1,control,6
test_c_1003317459.json,GEMINI_FLASH_3.5,control,6
test_c_1003577461.json,GEMINI_FLASH_3,control,6
test_c_1005585564.json,GEMINI_PRO_3.1,control,6
test_c_1008863028.json,GEMINI_FLASH_3.5,control,6
test_c_1014413434.json,GEMINI_LITE_3.1,control,6
test_c_1015614766.json,GEMINI_FLASH_3,control,6
test_c_1015992471.json,GEMINI_FLASH_3,control,6
test_c_1017038141.json,GEMINI_PRO_3.1,control,6
test_c_1017083055.json,GEMINI_PRO_3.1,control,6
test_c_1017966113.json,GEMINI_FLASH_3.5,control,6
test_c_1019554761.json,GEMINI_PRO_3.1,control,6
test_c_1022428881.json,GEMINI_PRO_3.1,control,6
test_c_1023755721.json,GEMINI_LITE_3.1,control,6
test_c_1026698381.json,GEMINI_LITE_3.1,control,6
test_c_1029685822.json,GEMINI_PRO_3.1,control,6
test_c_1030946726.json,GEMINI_LITE_3.1,control,6
test_c_1030999083.json,GEMINI_PRO_3.1,control,6
test_c_1032183985.json,GEMINI_FLASH_3,control,9
test_c_1032965377.json,GEMINI_PRO_3.1,control,6
test_c_103413233.json,GEMINI_FLASH_3.5,control,6
test_c_1034416309.json,GEMINI_PRO_3.1,control,6
test_c_1035249450.json,GEMINI_PRO_3.1,control,6
test_c_1035674875.json,GEMINI_FLASH_3,control,6
test_c_1038896394.json,GEMINI_LITE_3.1,control,6
test_c_1040197562.json,GEMINI_FLASH_3,control,6
test_c_1044733374.json,GEMINI_FLASH_3,control,6
test_c_10451369.json,GEMINI_LITE_3.1,control,6
test_c_1051439438.json,GEMINI_PRO_3.1,control,12
test_c_1051496918.json,GEMINI_PRO_3.1,control,4
test_c_1053330219.json,GEMINI_PRO_3.1,control,6
test_c_105411978.json,GEMINI_LITE_3.1,control,6
test_c_1056626783.json,GEMINI_LITE_3.1,control,6
test_c_1057404316.json,GEMINI_FLASH_3.5,control,6
test_c_1060178755.json,GEMINI_PRO_3.1,control,6
test_c_1060420914.json,GEMINI_LITE_3.1,control,6
test_c_106217351.json,GEMINI_FLASH_3.5,control,8
test_c_106409889.json,GEMINI_LITE_3.1,control,6
test_c_106846961.json,GEMINI_FLASH_3.5,control,6
test_c_1068480323.json,GEMINI_FLASH_3,control,12
test_c_1069751727.json,GEMINI_FLASH_3,control,6
test_c_1076291685.json,GEMINI_FLASH_3,control,8
test_c_1077635596.json,GEMINI_PRO_3.1,control,6
test_c_1078092121.json,GEMINI_FLASH_3.5,control,6
test_c_108100538.json,GEMINI_FLASH_3,control,4
test_c_1085116796.json,GEMINI_LITE_3.1,control,6
test_c_1086838937.json,GEMINI_FLASH_3,control,6
test_c_1089448530.json,GEMINI_FLASH_3,control,6
test_c_1091021526.json,GEMINI_FLASH_3.5,control,6
test_c_1091160208.json,GEMINI_LITE_3.1,control,6
test_c_1093528642.json,GEMINI_LITE_3.1,control,6
test_c_1094380556.json,GEMINI_LITE_3.1,control,6
test_c_1094468668.json,GEMINI_PRO_3.1,control,6
test_c_1095326076.json,GEMINI_FLASH_3.5,control,6
test_c_109558776.json,GEMINI_LITE_3.1,control,6
test_c_1095720451.json,GEMINI_PRO_3.1,control,6
test_c_1099397351.json,GEMINI_FLASH_3.5,control,6
test_c_1099407512.json,GEMINI_PRO_3.1,control,6
test_c_1099588496.json,GEMINI_FLASH_3,control,8
test_c_1101441239.json,GEMINI_PRO_3.1,control,6
test_c_1102880358.json,GEMINI_FLASH_3.5,control,3
test_c_1102988642.json,GEMINI_FLASH_3.5,control,6
test_c_1103238511.json,GEMINI_FLASH_3.5,control,6
test_c_110983755.json,GEMINI_FLASH_3.5,control,4
test_c_1111176494.json,GEMINI_PRO_3.1,control,6
test_c_1117094846.json,GEMINI_FLASH_3,control,6
test_c_1117999860.json,GEMINI_LITE_3.1,control,6
test_c_1118006204.json,GEMINI_FLASH_3.5,control,6
test_c_1121625230.json,GEMINI_FLASH_3.5,control,6
test_c_1124333159.json,GEMINI_LITE_3.1,control,6
test_c_1124446797.json,GEMINI_FLASH_3.5,control,6
test_c_1126390662.json,GEMINI_PRO_3.1,control,6
test_c_1127897666.json,GEMINI_FLASH_3.5,control,6
test_c_1130171890.json,GEMINI_FLASH_3,control,8
test_c_1133264775.json,GEMINI_FLASH_3,control,4
test_c_1133592521.json,GEMINI_FLASH_3.5,control,6
test_c_1137532280.json,GEMINI_FLASH_3,control,6
test_c_1140553984.json,GEMINI_PRO_3.1,control,6
test_c_1141539562.json,GEMINI_FLASH_3.5,control,8
test_c_114169219.json,GEMINI_FLASH_3,control,6
test_c_1144110832.json,GEMINI_FLASH_3,control,6
test_c_1144280115.json,GEMINI_PRO_3.1,control,6
test_c_1144656283.json,GEMINI_FLASH_3.5,control,6
test_c_1156589414.json,GEMINI_LITE_3.1,control,6
test_c_1158839568.json,GEMINI_FLASH_3.5,control,6
test_c_1160184934.json,GEMINI_LITE_3.1,control,6
test_c_1163269123.json,GEMINI_FLASH_3,control,8
test_c_1168129731.json,GEMINI_FLASH_3,control,6
test_c_116820735.json,GEMINI_LITE_3.1,control,6
test_c_1168411927.json,GEMINI_PRO_3.1,control,6
test_c_1169139202.json,GEMINI_PRO_3.1,control,6
test_c_1169293207.json,GEMINI_FLASH_3.5,control,6
test_c_1174123984.json,GEMINI_LITE_3.1,control,6
test_c_1176349001.json,GEMINI_PRO_3.1,control,6
test_c_1178176551.json,GEMINI_LITE_3.1,control,6
test_c_1183415637.json,GEMINI_FLASH_3,control,6
test_c_1185569122.json,GEMINI_PRO_3.1,control,6
test_c_1188158633.json,GEMINI_LITE_3.1,control,6
test_c_1190668999.json,GEMINI_LITE_3.1,control,6
test_c_1191001730.json,GEMINI_FLASH_3,control,6
test_c_1197200883.json,GEMINI_FLASH_3.5,control,6
test_c_1198896772.json,GEMINI_PRO_3.1,control,6
test_c_1201360702.json,GEMINI_FLASH_3.5,control,3
test_c_1202167680.json,GEMINI_PRO_3.1,control,6
test_c_1203897395.json,GEMINI_FLASH_3.5,control,6
test_c_1206182485.json,GEMINI_FLASH_3.5,control,4
test_c_1206467286.json,GEMINI_PRO_3.1,control,6
test_c_12074245.json,GEMINI_FLASH_3,control,6
test_c_1210301152.json,GEMINI_LITE_3.1,control,6
test_c_1212058371.json,GEMINI_LITE_3.1,control,6
test_c_1214074780.json,GEMINI_FLASH_3.5,control,3
test_c_121703684.json,GEMINI_FLASH_3,control,6
test_c_1217093697.json,GEMINI_PRO_3.1,control,6
test_c_1218328589.json,GEMINI_FLASH_3,control,6
test_c_122081108.json,GEMINI_LITE_3.1,control,6
test_c_1220896282.json,GEMINI_FLASH_3,control,12
test_c_1221040662.json,GEMINI_PRO_3.1,control,6
test_c_1222863154.json,GEMINI_LITE_3.1,control,6
test_c_1223622073.json,GEMINI_PRO_3.1,control,6
test_c_1225902920.json,GEMINI_FLASH_3,control,6
test_c_1230016989.json,GEMINI_FLASH_3.5,control,6
test_c_1230098641.json,GEMINI_FLASH_3,control,6
test_c_123409262.json,GEMINI_LITE_3.1,control,6
test_c_1236634246.json,GEMINI_LITE_3.1,control,6
test_c_1238431333.json,GEMINI_FLASH_3.5,control,6
test_c_1242980694.json,GEMINI_FLASH_3,control,6
test_c_1244824769.json,GEMINI_PRO_3.1,control,6
test_c_1245133499.json,GEMINI_LITE_3.1,control,6
test_c_1247275252.json,GEMINI_FLASH_3.5,control,6
test_c_1249234683.json,GEMINI_FLASH_3,control,6
test_c_1252192419.json,GEMINI_FLASH_3,control,9
test_c_1252896455.json,GEMINI_PRO_3.1,control,6
test_c_1261163169.json,GEMINI_PRO_3.1,control,6
test_c_1262242510.json,GEMINI_FLASH_3,control,6
test_c_1263065074.json,GEMINI_PRO_3.1,control,6
test_c_126824937.json,GEMINI_FLASH_3.5,control,6
test_c_1268865585.json,GEMINI_LITE_3.1,control,6
test_c_1269112383.json,GEMINI_FLASH_3.5,control,6
test_c_1269626258.json,GEMINI_FLASH_3.5,control,6
test_c_1274612249.json,GEMINI_LITE_3.1,control,6
test_c_1280537368.json,GEMINI_LITE_3.1,control,6
test_c_1282953035.json,GEMINI_FLASH_3.5,control,3
test_c_1286587760.json,GEMINI_FLASH_3.5,control,6
test_c_1288229731.json,GEMINI_FLASH_3.5,control,4
test_c_1289229059.json,GEMINI_PRO_3.1,control,6
test_c_1297824334.json,GEMINI_FLASH_3.5,control,4
test_c_1299444163.json,GEMINI_FLASH_3,control,4
test_c_130007516.json,GEMINI_FLASH_3,control,4
test_c_1300920006.json,GEMINI_LITE_3.1,control,6
test_c_1304621366.json,GEMINI_FLASH_3.5,control,6
test_c_1305732905.json,GEMINI_PRO_3.1,control,6
test_c_1308212721.json,GEMINI_LITE_3.1,control,6
test_c_130884975.json,GEMINI_PRO_3.1,control,12
